time,runtime
0.3793191,1.7976e-03
0.4144134,1.0686e-02
0.4590299,1.0835e-02
0.5059114,1.3079e-02
0.5498178,5.1416e-03
0.5841298,1.4021e-02
0.6048707,4.0263e-03
0.6350161,8.2954e-03
0.6721379,1.0629e-02
0.7087154,2.2922e-03
0.7270114,6.6132e-03
0.7564443,5.8487e-03
0.7902611,9.6725e-03
0.8352144,6.5100e-03
0.8844025,2.6458e-03
0.9051676,6.5673e-03
0.9333509,1.6582e-02
0.9836723,8.2153e-03
1.0244504,4.8010e-03
1.0559136,1.3126e-02
1.1208080,4.6289e-03
1.1668570,9.1282e-03
1.2162318,1.8443e-02
1.2753747,6.6847e-03
1.3066559,7.1185e-03
1.3453149,1.6434e-02
1.3917421,1.7735e-02
1.4405413,4.0879e-03
1.4681273,9.3106e-03
1.5061786,4.1963e-03
1.5377593,8.0614e-03
1.5872507,6.0957e-03
1.6189300,6.7599e-03
1.6486211,1.1169e-02
1.6840959,6.8518e-03
1.7059870,1.2968e-02
1.7471427,8.6819e-03
1.7717040,1.0926e-02
1.8074529,1.1109e-02
1.8510910,9.6456e-03
1.8917887,9.2924e-03
1.9344792,1.0408e-02
1.9624697,1.1145e-02
1.9981034,9.3738e-03
2.0327268,6.8956e-03
2.0616062,1.1415e-02
2.0967605,5.7397e-03
2.1291263,8.6054e-03
2.1623325,1.1988e-02
2.1981623,7.5127e-03
2.2265420,8.4288e-03
2.2600994,1.4151e-02
2.3041656,5.8176e-03
2.3400011,1.3489e-02
2.3774426,1.3236e-02
2.4166532,4.9827e-03
2.4401622,1.1071e-02
2.4720793,6.7714e-03
2.4996157,6.6033e-03
2.5350451,7.2892e-03
2.5613322,7.0567e-03
2.5993078,1.1705e-02
2.6317027,9.0494e-03
2.6648319,9.3290e-03
2.6958094,8.5469e-03
2.7267699,8.3303e-03
2.7552562,7.4841e-03
2.7978413,1.2057e-02
2.8323092,1.1005e-02
2.8721194,1.1735e-02
2.9066613,9.9987e-03
2.9303725,1.2309e-02
2.9773843,1.2187e-02
3.0097644,9.2702e-03
3.0474572,1.0113e-02
3.0898857,1.3008e-02
3.1202869,9.1513e-03
3.1513290,1.1092e-02
3.1804495,1.2049e-02
3.2081509,1.1050e-02
3.2402899,6.3740e-03
3.2743208,3.7684e-03
3.3106091,7.2136e-03
3.3369229,8.8780e-03
3.3669748,7.7644e-03
3.3952003,9.3882e-03
3.4359987,1.2890e-02
3.4725533,9.6422e-03
3.5089691,1.1678e-02
3.5501103,8.0020e-03
3.5722075,9.8718e-03
3.6111100,1.0635e-02
3.6441791,8.5828e-03
3.6644425,8.8123e-03
3.6990232,5.8835e-03
3.7306468,8.4888e-03
3.7556252,8.7658e-03
3.7772303,1.2114e-02
3.8229489,6.8938e-03
3.8504856,8.9340e-03
3.8819723,9.6283e-03
3.9135263,6.7017e-03
3.9512434,8.5557e-03
3.9710400,8.8896e-03
3.9983153,1.1956e-02
4.0330377,8.5302e-03
4.0605974,9.1601e-03
4.0980110,3.3961e-03
4.1293039,2.5007e-03
4.1502776,8.4747e-03
4.1782026,9.1291e-03
4.2086453,1.2346e-02
4.2527847,9.7146e-03
4.2798128,5.8279e-03
4.3063526,7.6543e-03
4.3369565,7.3580e-03
4.3697219,1.1369e-02
4.4031448,5.7202e-03
4.4317389,3.4238e-03
4.4613051,1.2518e-02
4.5001249,3.5386e-03
4.5278859,7.1211e-03
4.5570502,3.8246e-03
4.5839186,5.7748e-03
4.6175795,8.6764e-03
4.6432967,1.1419e-02
4.6777000,8.2440e-03
4.7213445,9.6791e-03
4.7605972,6.5803e-03
4.7868395,1.3740e-02
4.8269825,9.6214e-03
4.8581743,1.1070e-02
4.8877935,3.9217e-03
4.9186707,9.2249e-03
4.9510527,8.2875e-03
4.9695778,6.8138e-03
5.0084562,6.9670e-01
5.7310748,1.2154e-02
5.7761464,7.3694e-03
5.8107591,1.2633e-02
5.8513117,1.0652e-02
5.9474616,1.2192e-02
5.9742956,6.6068e-03
6.0102692,6.2774e-03
6.0442963,6.2495e-03
6.0876751,6.3850e-03
6.1231065,6.1446e-03
6.1594329,8.1979e-03
6.1939058,8.9623e-03
6.2455730,1.2366e-02
6.2890282,7.8959e-03
6.3149252,7.5113e-03
6.3932920,5.2634e-03
6.4376369,6.0027e-03
6.4802556,7.3876e-03
6.5126972,2.5613e-03
6.5483985,2.5044e-03
6.5916805,1.4408e-02
6.6267705,9.1380e-03
6.6699510,9.3730e-03
6.7090616,9.8164e-03
6.7485023,1.0446e-02
6.7767010,7.9404e-03
6.8260565,1.3729e-02
6.8815351,8.4989e-03
6.9053907,1.9408e-02
6.9632583,1.8004e-02
7.0332675,2.3773e-03
7.0637217,1.5076e-02
7.1117430,2.5367e-03
7.1473413,7.6545e-03
7.1725597,1.1951e-02
7.2221851,1.0285e-02
7.2503142,5.6093e-03
7.2856030,7.3397e-03
7.3293986,1.1852e-02
7.3789549,1.0613e-02
7.4426751,8.6203e-03
7.5454111,8.4733e-03
7.5719123,8.6639e-03
7.5947766,6.4635e-03
7.6212626,7.2612e-03
7.6514916,1.2561e-02
7.6943150,6.3780e-03
7.7192187,9.4572e-03
7.7601447,3.2086e-03
7.7918181,8.4767e-03
7.8212385,1.3762e-02
7.8621502,6.8102e-03
7.8948340,8.3805e-03
7.9251275,7.7453e-03
7.9566212,8.0330e-03
7.9921608,1.3976e-02
8.0311756,9.3167e-03
8.0696640,5.3489e-03
8.1007023,8.1695e-03
8.1372595,1.6525e-02
8.1831560,6.8012e-03
8.2128363,6.6375e-03
8.2470474,6.0861e-03
8.2819290,7.5642e-03
8.3038855,9.2024e-03
8.3283081,1.8144e-02
8.3722763,9.4633e-03
8.4118929,9.6815e-04
8.4364100,1.1105e-02
8.4680271,1.0477e-02
8.4918242,1.1026e-02
8.5349226,6.8267e-03
8.5735397,9.4919e-03
8.6056557,4.7709e-03
8.6373234,7.7563e-03
8.6732721,2.0951e-03
8.7003937,9.1600e-03
8.7347927,1.1916e-02
8.7627373,9.1055e-03
8.7948093,1.1907e-02
8.8331270,7.9744e-03
8.8708506,6.3927e-03
8.9057426,3.2998e-03
8.9373350,9.3993e-03
8.9726400,4.6198e-03
8.9964342,1.0287e-02
9.0180044,8.9385e-03
9.0533295,6.1569e-03
9.0816154,8.9003e-03
9.1164246,8.8396e-03
9.1530781,9.6133e-03
9.1910124,7.1478e-03
9.2248907,4.0505e-03
9.2505531,4.8543e-03
9.2875376,9.1363e-03
9.3322144,8.4349e-03
9.3666000,7.6722e-03
9.4008121,1.2268e-02
9.4373236,1.1067e-02
9.4637976,1.1334e-02
9.5000401,4.6918e-03
9.5209684,6.7783e-03
9.5446730,7.7580e-03
9.5772610,9.0913e-03
9.6101799,9.8133e-03
9.6411057,1.3690e-02
9.6689434,1.1459e-02
9.7170029,1.0261e-02
9.7471437,7.9323e-03
9.7872896,8.2424e-03
9.8304548,6.4815e-03
9.8679066,9.0796e-03
9.9068403,8.0333e-03
9.9233036,1.0404e-02
9.9579010,9.7880e-03
9.9928608,5.1542e-01
10.5378866,8.7908e-03
10.5788641,1.6290e-02
10.6144180,1.1673e-02
10.6544590,6.5632e-03
10.6997652,9.2271e-03
10.7327766,2.1019e-02
10.7921610,8.8669e-04
10.8320732,8.4239e-03
10.8846846,4.2642e-03
10.9227791,1.5072e-02
10.9530563,1.2418e-02
11.0141964,1.1895e-02
11.0567522,1.0625e-02
11.0886707,1.0346e-02
11.1361866,1.1057e-02
11.2006645,7.7800e-03
11.2441273,1.4147e-02
11.2978373,1.2010e-02
11.3501654,3.8353e-03
11.4056120,1.1980e-02
11.4580936,1.1301e-02
11.4915209,3.7178e-03
11.5448713,2.1850e-03
11.5823708,1.4300e-02
11.6239481,1.1298e-02
11.6769562,5.8936e-03
11.7298174,2.5701e-02
11.7942533,8.0025e-03
11.8393164,1.4660e-02
11.8843126,1.0814e-02
11.9386816,8.0139e-03
11.9744196,1.0884e-02
12.0232658,6.4448e-03
12.0578222,9.1777e-03
12.0897875,9.5953e-03
12.1199570,1.0710e-02
12.1622820,5.6588e-03
12.1907635,7.6373e-03
12.2235861,8.1573e-03
12.2489195,1.2998e-02
12.2882490,9.5189e-03
12.3290720,9.8391e-03
12.3641186,1.1729e-02
12.4318810,5.6750e-03
12.4586229,1.2554e-02
12.4983711,7.2395e-03
12.5321884,9.9388e-03
12.5610666,1.0335e-02
12.5905561,1.1670e-02
12.6242847,3.8573e-03
12.6504059,7.8958e-03
12.6748056,4.6523e-03
12.7002850,9.3844e-03
12.7268810,1.2206e-02
12.7651873,1.2505e-02
12.7942448,1.2674e-02
12.8307552,5.3344e-03
12.8530560,1.0962e-02
12.8867540,5.1976e-03
12.9198256,1.1320e-02
12.9443331,1.2701e-03
12.9716387,1.2021e-02
13.0081301,1.2672e-02
13.0550117,2.1692e-03
13.0819120,3.9075e-03
13.1140013,7.6103e-03
13.1496897,7.1330e-03
13.1912193,7.2807e-03
13.2181845,1.0073e-02
13.2556324,1.1150e-02
13.2866125,1.1042e-02
13.3281555,5.0907e-03
13.3620205,8.7370e-03
13.3966446,8.2584e-03
13.4318275,8.1870e-03
13.4561071,1.0628e-02
13.4833622,7.2465e-03
13.5201006,7.1956e-03
13.5727062,1.5763e-02
13.6183701,9.0613e-03
13.6498060,6.8126e-03
13.6848688,9.2729e-03
13.7143612,1.1086e-02
13.7431469,1.0668e-02
13.7746239,9.1933e-03
13.8020086,1.4794e-02
13.8471241,7.4119e-03
13.8804436,9.4400e-03
13.9113054,1.1654e-02
13.9481716,8.0221e-03
13.9739456,1.1031e-02
14.0048170,5.0071e-03
14.0333042,6.0308e-03
