time,runtime
0.0140972,7.3599e-03
0.0461037,7.4766e-03
0.0792219,1.5067e-02
0.1208572,1.0870e-02
0.1535884,7.5659e-03
0.1846237,5.2098e-03
0.2199039,1.0489e-02
0.2508053,9.5350e-03
0.2906431,9.3401e-03
0.3203288,8.1685e-03
0.3482896,1.3235e-02
0.3871142,1.2822e-02
0.4230403,2.8925e-03
0.4558185,6.4165e-03
0.4776251,8.6995e-03
0.5136688,8.3451e-03
0.5441070,8.4293e-03
0.5803920,9.0192e-03
0.6155537,9.0726e-03
0.6507657,6.4760e-03
0.6771216,8.4447e-03
0.7102404,4.6804e-03
0.7441247,3.9072e-03
0.7733292,6.1322e-03
0.8059485,3.1080e-01
1.1803563,6.6590e-03
1.2131929,1.5196e-02
1.2667249,5.1284e-03
1.3046504,3.1596e-03
1.3411314,7.4853e-03
1.3828870,5.1350e-03
1.4257096,7.4887e-03
1.4724567,4.0104e-03
1.4967331,8.4304e-03
1.5512532,5.5958e-03
1.7145727,9.0630e-03
1.7689676,1.6983e-02
1.8073763,6.1076e-03
1.8524672,8.7886e-04
1.8934759,1.5851e-02
1.9486301,1.2587e-02
1.9875540,2.5056e-02
2.0514843,3.6588e-03
2.0917935,7.6183e-03
2.1428058,1.0479e-02
2.1715641,1.3207e-02
2.2299972,1.4145e-02
2.2844281,2.2041e-02
2.3479204,4.3198e-03
2.3779941,2.0436e-02
2.4190702,3.0906e-02
2.5043082,9.2487e-03
2.5377727,1.0781e-02
2.5755742,9.9880e-03
2.6013842,7.6877e-03
2.6376121,4.6723e-03
2.6662927,1.4662e-02
2.7145824,1.1832e-02
2.7549217,5.3512e-03
2.7863355,1.0705e-02
2.8116584,9.2086e-03
2.8557386,8.1292e-03
2.8929825,9.2727e-03
2.9284124,7.2745e-03
2.9615004,7.6766e-03
2.9979386,7.0780e-03
3.0246818,1.0199e-02
3.0625620,1.1825e-02
3.0919876,9.0550e-03
3.1264322,8.0708e-03
3.1621842,1.0826e-02
3.1929126,7.4740e-03
3.2257438,8.3758e-03
3.2565038,8.3946e-03
3.2771850,1.3499e-02
3.3140810,7.9993e-03
3.3537662,4.3160e-03
3.3786607,1.0556e-02
3.4183047,6.0125e-03
3.4405286,8.6273e-03
3.4779162,1.0643e-02
3.5115106,6.7406e-03
3.5406473,7.1924e-03
3.5752296,7.0934e-03
3.6064529,8.5009e-03
3.6480858,7.8084e-03
3.6803772,6.5948e-03
3.7039547,6.5449e-03
3.7374368,6.1904e-03
3.7689276,4.7896e-03
3.8060925,8.4400e-03
3.8403046,6.2683e-03
3.8639176,8.2852e-03
3.9086344,1.1726e-02
3.9483244,7.2825e-03
3.9856298,1.0892e-02
4.0177622,6.9748e-03
4.0449829,9.5564e-03
4.0836840,1.1454e-02
4.1222572,1.4895e-03
4.1528773,9.3203e-03
4.1873693,6.1864e-03
4.2208266,2.0486e-03
4.2422366,1.2274e-02
4.2875900,5.5869e-03
4.3225508,9.2537e-03
4.3575001,9.5356e-03
4.3815017,6.3924e-03
4.4026546,7.4936e-03
4.4298010,2.2001e-03
4.4601674,9.7434e-03
4.4965281,1.0435e-02
4.5530005,7.1370e-03
4.5848517,1.3524e-02
4.6248517,8.9098e-03
4.6571579,1.2402e-02
4.6872635,9.8978e-03
4.7170734,8.6143e-03
4.7536011,9.0491e-03
4.7883315,8.0326e-03
4.8132925,1.4674e-02
4.8533483,8.0017e-03
4.8840179,1.1442e-02
4.9154587,5.0292e-03
4.9420691,7.5181e-03
4.9664073,1.0653e-02
4.9975176,5.5795e-03
5.0385523,9.0680e-03
5.0783029,7.9662e-03
5.1115556,8.6832e-03
5.1347208,1.1394e-02
5.1725745,5.3682e-03
5.2008815,1.0347e-02
5.2357655,8.9662e-03
5.2661595,6.6950e-03
5.2934270,1.1462e-03
5.3277388,1.1497e-02
5.3613200,5.9002e-03
5.3917441,4.5595e-03
5.4178734,1.3910e-02
5.4600730,8.4739e-03
5.4992433,7.7307e-03
5.5222635,9.8854e-03
5.5503693,1.0038e-02
5.5852194,3.2591e-03
5.6072273,9.0691e-03
5.6372051,1.2862e-02
5.6672320,1.4008e-02
5.7067285,9.9586e-03
5.7373910,1.2141e-02
5.7642260,7.8816e-03
5.8072286,3.0007e-01
6.1325331,8.9244e-03
6.1576843,1.2676e-02
6.1983099,1.7984e-02
6.2683802,8.6233e-03
6.3081927,1.9200e-02
6.3680253,1.4761e-02
6.4277782,7.1916e-03
6.4797983,2.5168e-02
6.5285807,1.0420e-02
6.5655913,1.9022e-02
6.6346426,1.1655e-02
6.6853523,9.4544e-03
6.7412438,2.3536e-02
6.8041406,1.9639e-02
6.8525209,7.0754e-03
6.8867836,5.1149e-03
6.9190941,8.7582e-03
6.9713616,2.3117e-03
7.0056834,1.0185e-02
7.0402746,3.7827e-03
7.0700345,1.0879e-02
7.0992751,4.8513e-03
7.1255155,1.0311e-02
7.1570582,1.1851e-02
7.2040181,9.7859e-03
7.2682705,1.7484e-02
7.3331046,1.2288e-02
7.3622551,1.4967e-02
7.4127192,1.4260e-02
7.4450197,1.0509e-02
7.4945993,1.1881e-02
7.5620961,8.0893e-04
7.5981765,9.7058e-03
7.6495891,1.0372e-02
7.7048197,1.4899e-02
7.7475166,5.3954e-03
7.7865238,2.2067e-03
7.8403211,1.0807e-02
7.8771534,1.9091e-02
7.9221687,9.7865e-03
7.9626322,1.1021e-02
8.0007534,9.4604e-03
8.0304165,4.3037e-03
8.0626326,8.4514e-03
8.0898180,6.3082e-03
8.1121750,1.6641e-02
8.1508446,9.5688e-03
8.2095051,4.8782e-03
8.2382736,8.4226e-03
8.2721558,1.1817e-02
8.3122234,5.7747e-03
8.3502283,3.4382e-03
8.3820925,5.8775e-03
8.4097309,7.8608e-03
8.4403591,4.0084e-03
8.4726076,9.2738e-03
8.5082016,7.4233e-03
8.5426016,6.9810e-03
8.5767212,1.1564e-02
8.6132908,4.0123e-03
8.6496840,1.2246e-02
8.6816721,3.3747e-03
8.7061892,7.9030e-03
8.7271805,1.1233e-02
8.7601643,1.0895e-02
8.8025885,7.7762e-03
8.8336906,1.4056e-02
8.8676138,6.5265e-03
8.9075098,1.0651e-02
8.9436045,8.2619e-03
8.9765720,9.1164e-03
8.9991302,9.3731e-03
9.0347910,6.2852e-03
9.0727348,1.0597e-02
9.1084700,8.5323e-03
9.1449986,9.1704e-03
9.1841116,9.7906e-03
9.2161531,1.2281e-02
9.2428513,1.1064e-02
9.2824183,7.1372e-03
9.3067274,1.3798e-02
9.3483744,8.8153e-03
9.3841648,8.1881e-03
9.4154787,8.1658e-03
9.4495239,6.7847e-03
9.4803791,7.2944e-03
9.5194263,1.0352e-02
9.5451679,1.0412e-02
9.5806713,1.0946e-02
9.6174345,1.2681e-02
9.6496658,7.5077e-03
9.6787825,9.0108e-03
9.7096176,8.1296e-03
9.7317371,4.4090e-03
9.7495317,1.0748e-02
9.7837925,9.9781e-03
9.8144131,9.6749e-03
9.8506613,8.6649e-03
9.8755579,8.8293e-03
9.9021349,1.3946e-02
9.9370165,9.8693e-03
9.9746351,1.1855e-02
10.0119791,3.2780e-03
10.0393038,1.0391e-02
10.0837364,5.0377e-03
10.1063957,1.1257e-02
10.1423149,1.0242e-02
10.1817446,3.8158e-03
10.2062349,9.1672e-03
10.2356157,6.9582e-03
10.2759361,8.9326e-03
10.3040361,8.9801e-03
10.3354855,9.5872e-03
