time,runtime
0.0000056,1.8142e-02
0.0621804,1.1537e-02
0.1094750,1.4865e-02
0.1621671,2.0323e-02
0.2123647,4.4136e-03
0.2563727,3.3695e-02
0.3325062,1.6062e-02
0.3873482,2.0456e-02
0.4465152,1.3626e-02
0.5130261,2.0194e-02
0.5690257,1.5787e-02
0.6200733,1.9864e-02
0.6788146,4.0776e-02
0.7521608,1.8458e-02
0.7998915,1.9132e-02
0.8645011,2.7051e-02
0.9369968,2.7422e-02
0.9845439,2.0606e-02
1.0315782,1.5111e-02
1.0772005,1.8222e-02
1.1328973,2.3595e-02
1.1925215,4.4566e-03
1.2315547,1.5917e-02
1.2904739,1.8476e-02
1.3532199,1.9033e-02
1.4035329,3.1094e-02
1.4683681,4.4765e-03
1.5117148,2.8591e-02
1.5722114,2.2673e-03
1.6182489,1.4180e-02
1.6696492,2.1927e-02
1.7402626,4.4057e-02
1.8112619,9.1367e-03
1.8579626,2.1814e-02
1.9101450,1.6943e-02
1.9600328,2.7556e-02
2.0419643,1.4025e-02
2.0943809,2.6223e-02
2.1510835,2.6026e-03
2.1833315,8.2839e-03
2.2315404,1.6104e-02
2.2826266,2.7516e-02
2.3434238,2.7375e-02
2.4118223,2.8300e-02
2.4702590,2.7282e-02
2.5296063,2.4255e-02
2.6802979,2.9240e-02
2.7471361,3.7819e-02
2.8236392,3.2218e-02
2.9053600,2.1823e-02
2.9713762,9.5869e-03
3.0244224,3.0091e-02
3.1434429,4.1135e-03
3.3650734,3.0118e-02
3.4166882,6.8944e-03
3.6843472,2.2173e-02
3.7433248,3.3663e-03
3.7724180,4.7057e-02
3.8542993,1.8208e-02
3.9171395,3.0941e-02
3.9796493,1.8083e-02
4.0905652,2.2301e-02
4.1489639,2.0079e-02
4.2000804,1.7453e-02
4.2417426,5.2298e-03
4.2959003,2.5558e-02
4.3576274,5.0751e-02
4.4323654,3.9342e-02
4.4955139,2.6491e-02
4.7947531,1.8299e-02
4.8718987,1.0861e-02
4.9262910,2.2020e-02
4.9826503,9.0236e-03
5.0239029,1.7907e-02
5.0809255,9.6173e-03
5.1276112,2.6115e-02
5.1815214,1.9835e-02
5.2362466,2.4511e-02
5.3781776,2.4364e-02
5.4439187,4.3959e-02
5.5266209,1.4568e-02
5.5719066,2.4590e-02
5.6222377,1.8066e-02
5.6771960,5.1284e-03
5.7201910,2.5710e-02
5.7742887,2.3245e-02
6.1089454,2.2825e-02
6.1737256,1.8852e-02
6.2464886,3.1376e-03
6.2815614,2.7310e-02
6.3446121,1.8147e-03
6.3810940,2.1864e-02
6.4421887,7.1246e-03
6.4788246,1.7425e-03
6.5069647,2.1746e-02
6.5799184,2.2216e-02
6.6349444,7.1895e-03
6.6810040,1.3570e-02
6.7135329,2.7153e-02
6.7804089,2.7405e-02
6.8418689,1.8695e-02
6.9034863,2.4846e-03
6.9297481,1.7655e-02
6.9874816,1.2860e-02
7.0353513,2.7150e-02
7.1057611,2.0827e-02
7.1731057,1.9758e-02
7.2173152,2.0566e-02
7.2762527,1.5719e-02
7.3252892,2.1748e-02
7.3869433,9.8588e-03
7.4174232,2.2226e-02
7.4483333,2.4128e-02
7.4981093,2.7354e-02
7.5524812,6.8291e-01
8.2721977,1.6778e-02
8.3195238,4.7343e-02
8.3932676,4.5210e-03
8.4335375,1.7395e-02
8.4881392,1.9899e-02
8.5533247,3.8878e-02
8.6450729,2.3387e-02
8.7222242,1.9286e-02
8.7785664,5.1111e-03
8.8235493,2.0508e-02
8.8738527,1.4683e-02
8.9317236,1.9511e-02
8.9865971,1.2185e-02
9.0212879,3.1618e-02
9.0913534,2.5947e-02
9.1539221,2.2705e-03
9.1914968,2.7111e-02
9.2487679,1.5714e-02
9.3084383,2.6521e-02
9.3683729,1.1422e-02
9.3954105,2.9304e-02
9.4586887,1.3070e-02
9.5150433,3.1547e-02
9.5763006,2.5838e-02
9.6327400,1.7227e-02
9.6776285,2.1607e-02
9.7436762,1.9659e-02
9.7982168,2.9027e-02
9.8608322,1.6018e-02
9.9096365,2.0766e-02
9.9629736,1.4884e-02
10.0139017,6.2176e-03
10.0614796,1.3122e-02
10.0837879,1.1745e-02
10.1299076,2.0476e-02
10.1955662,3.0434e-02
10.2429180,2.5639e-02
10.3068638,1.4065e-02
10.3691416,1.2495e-02
10.4325190,1.1750e-02
10.4826317,3.9251e-02
10.5626755,8.2869e-03
10.6116629,2.0150e-02
10.6709509,1.0215e-02
10.7160892,1.7044e-02
10.7731304,2.5049e-02
10.8356133,1.4723e-02
10.8904819,2.3895e-02
10.9568787,1.8182e-02
11.0085535,2.5944e-02
11.0737877,2.1210e-02
11.1363630,1.9737e-02
11.2108059,1.4365e-02
11.2593918,1.2571e-02
11.3189163,2.0112e-02
11.3625813,3.4109e-03
11.4010410,8.4344e-03
11.4291372,3.3227e-02
11.4986715,1.8153e-03
11.5409431,1.5464e-02
11.5892696,1.9340e-02
11.6579161,1.8312e-02
11.7147074,2.9157e-02
11.7932701,1.4912e-02
11.8551092,2.3408e-02
11.9036703,3.3474e-02
11.9760313,2.1896e-02
12.0280495,1.7359e-03
12.0723534,2.5671e-02
12.1368303,2.0886e-03
12.1878433,3.4262e-02
12.2580748,1.2287e-02
12.3260870,2.9263e-02
12.3990316,2.1374e-02
12.4653511,2.3461e-02
12.5163145,1.9977e-02
12.5771646,1.4022e-01
12.7655764,2.4491e-02
12.8375854,4.4241e-02
12.9090433,2.7039e-02
12.9843178,2.6033e-02
13.0440130,4.9671e-03
13.1010466,2.0841e-02
13.1832867,1.6769e-02
13.2235270,2.5767e-02
13.2839527,1.2625e-02
13.3158245,9.5967e-03
13.3687820,2.1280e-02
13.4468679,2.5002e-02
13.5282307,2.5922e-02
13.5810566,1.1651e-02
13.6361046,2.3403e-02
13.7033787,2.7848e-02
13.7695618,2.5133e-02
13.8218288,2.1067e-02
13.8856859,1.5396e-02
13.9410639,2.0672e-02
13.9967604,4.2327e-03
14.0320072,2.0844e-02
14.0871048,1.4679e-02
14.1362448,1.6420e-02
14.1768579,1.5253e-02
14.2180958,1.6163e-02
14.2702732,2.2604e-03
14.3099909,1.6269e-02
14.3583574,1.6783e-03
14.4037533,2.4039e-02
14.4718657,1.9603e-02
14.5218172,2.4002e-02
14.5854807,2.9887e-02
14.6580286,2.1880e-02
14.7137203,3.0185e-03
14.7516241,2.6451e-02
14.8208046,1.4662e-02
14.8704720,6.7941e-03
14.9102612,1.2588e-02
14.9566793,2.2293e-02
15.0050001,1.1990e-02
15.0670967,2.0781e-03
15.1018353,1.5325e-02
15.1614971,2.5289e-02
15.2265072,3.2471e-02
15.2810888,2.7585e-02
15.3309555,5.4718e-03
15.3778219,1.5287e-02
15.4139433,2.4208e-02
15.4654589,1.4142e-02
15.5310984,2.5166e-02
15.5953770,2.7569e-02
15.6619196,8.1399e-03
15.6977749,2.5744e-02
15.7659941,6.2813e-03
15.8049469,2.1511e-02
15.8571787,1.4280e-02
15.9022636,2.7094e-02
15.9723663,2.4913e-02
16.0230541,1.7413e-02
16.0660000,1.0320e-02
16.1130428,5.7993e-03
16.1488972,1.4240e-02
16.2001038,2.7386e-02
16.2589321,1.3941e-02
16.3152523,1.4061e-02
16.3702965,5.0317e-03
16.4220409,2.3227e-02
16.4975414,2.4722e-02
16.5507908,2.2918e-02
16.6120472,3.7115e-02
16.6941719,2.1424e-02
16.7546520,8.1091e-03
16.7975464,2.4304e-02
16.8555298,1.9655e-03
16.8914452,1.3996e-02
16.9386311,2.2181e-02
17.0038395,2.3700e-02
17.0639000,2.3242e-02
17.1272697,2.4373e-02
17.1903667,2.1115e-02
17.2443466,2.8534e-02
17.3172817,3.6064e-02
17.3856182,3.9954e-02
17.4475193,2.1011e-02
17.5080070,2.0474e-03
17.5333500,3.7081e-02
17.7105179,1.8813e-02
17.7772427,4.5616e-02
17.8522263,3.1949e-02
17.9375172,3.0833e-02
17.9886284,2.1665e-02
18.0689449,8.4974e-04
18.1234798,3.6351e-02
18.1862087,2.5314e-02
18.2473736,2.5289e-02
18.3118362,2.2599e-02
18.3796978,5.2547e-03
18.4155235,6.1101e-03
18.4697704,5.1097e-02
18.5838833,1.4202e-02
18.6396809,3.3945e-02
18.7045517,2.2827e-02
