time,runtime
0.0401787,4.2546e-03
0.0444355,3.3530e-02
0.0779685,2.2975e-02
0.1009455,6.9137e-03
0.1078615,1.0027e-02
0.1178916,1.0165e-02
0.1280589,1.0023e-02
0.1380841,9.1456e-03
0.1472320,8.1115e-03
0.1553458,9.6212e-03
0.1649717,9.0603e-03
0.1740344,1.0502e-02
0.1845382,5.3504e-03
0.1898931,9.6518e-03
0.1995472,6.2390e-03
0.2057885,1.1767e-02
0.2175577,1.1529e-02
0.2290893,9.4197e-03
0.2385111,9.4552e-03
0.2479687,1.1979e-02
0.2599503,9.7153e-03
0.2696680,6.5675e-03
0.2762377,6.7581e-03
0.2829982,7.7131e-03
0.2907137,1.0912e-02
0.3016278,1.1136e-02
0.3127666,1.3000e-02
0.3257691,1.0819e-02
0.3365900,1.0589e-02
0.3471815,9.3710e-03
0.3565548,7.9844e-03
0.3645413,1.0715e-02
0.3752590,1.2084e-02
0.3873452,1.1248e-02
0.3985972,1.1376e-02
0.4099754,6.7022e-03
0.4166799,1.3194e-02
0.4298970,4.3855e-03
0.4342848,1.3002e-02
0.4473054,1.3675e-02
0.4609830,1.2038e-02
0.4730234,1.0439e-02
0.4834642,9.1003e-03
0.4925689,1.2117e-02
0.5046878,3.8206e-03
0.5085105,9.9830e-03
0.5184959,9.4960e-03
0.5279942,1.2561e-02
0.5405572,1.7153e-02
0.5577128,1.1869e-02
0.5695863,8.4911e-03
0.5780821,1.2309e-02
0.5903937,8.8749e-03
0.5992709,1.4642e-02
0.6139331,1.0990e-02
0.6249257,1.5291e-02
0.6402192,1.0798e-02
0.6510206,7.9554e-03
0.6589785,1.2040e-02
0.6710207,6.8284e-03
0.6778538,1.9325e-03
0.6797901,1.1815e-02
0.6916091,1.7608e-02
0.7092195,1.3772e-02
0.7229964,1.2040e-02
0.7350385,8.8174e-03
0.7438582,7.7879e-03
0.7516485,1.1166e-02
0.7628168,1.2508e-02
0.7753276,1.0911e-02
0.7862406,1.3142e-02
0.7993846,1.0178e-02
0.8095649,1.0679e-02
0.8202617,1.0895e-02
0.8311596,1.6140e-02
0.8473019,1.1481e-02
0.8587856,1.0895e-02
0.8696823,1.1138e-02
0.8808227,1.2197e-02
