time,runtime
0.9198086,1.1367e-03
1.4494635,6.4087e-04
1.4819160,7.7521e-04
1.5650661,9.1094e-04
1.5936605,1.2907e-03
1.6305217,5.7119e-04
1.6619419,7.8533e-04
1.6963359,6.3293e-04
1.7309347,5.4595e-04
1.8693584,6.8477e-04
1.9415473,5.6297e-04
2.0737338,7.7670e-04
2.1150093,4.4580e-04
2.2424979,6.4169e-04
2.5267813,7.8297e-04
4.0443397,3.6597e-04
4.0921135,4.9904e-04
4.1158895,6.4403e-04
4.1755533,7.0612e-04
4.2381120,4.5094e-04
4.2715864,5.2111e-04
4.3136711,5.4784e-04
4.3268638,7.3840e-04
4.3569999,5.6730e-04
4.4094772,6.3541e-04
4.4369259,7.7678e-04
4.4623761,8.7780e-04
4.4950275,7.6522e-04
4.5224872,7.1711e-04
4.5503426,7.2830e-04
4.5831814,6.4338e-04
4.6087275,6.7648e-04
4.6522198,5.7731e-04
4.7124548,6.8317e-04
4.7414303,7.3666e-04
4.7728028,8.6011e-04
4.8008928,9.0850e-04
4.9378347,5.6549e-04
4.9648352,5.6066e-04
5.0018983,6.5853e-04
5.0545135,8.3692e-04
5.0829692,6.9677e-04
5.1185207,7.1046e-04
5.1682038,6.0101e-04
5.2403226,5.6355e-04
5.2867026,6.3051e-04
5.3163009,6.8624e-04
5.3563709,6.1301e-04
5.3820171,5.1327e-04
5.4106588,7.3969e-04
5.4351144,6.3226e-04
5.4588017,6.4070e-04
5.4881287,6.2274e-04
5.5247989,5.9811e-04
5.6671948,7.4197e-04
5.7095127,7.1542e-04
5.8362355,5.9337e-04
5.8690734,4.4170e-04
5.8890362,6.1575e-04
5.9236379,7.8947e-04
5.9560575,5.9485e-04
5.9905257,5.7663e-04
6.0233965,7.9953e-04
6.0498571,8.1405e-04
6.0705481,5.9728e-04
6.1022105,7.5128e-04
6.1282616,6.2947e-04
6.1565533,6.8417e-04
6.1868415,8.3613e-04
6.2427373,6.7190e-04
6.2904291,5.3592e-04
6.3462586,6.4733e-04
6.3800693,6.3923e-04
6.4356022,6.5995e-04
6.4625630,5.4510e-04
6.4890728,7.4422e-04
6.5375977,7.2532e-04
6.5737181,7.0299e-04
6.5968747,6.4954e-04
6.6297274,5.9280e-04
6.8391318,6.4840e-04
6.8716044,7.0526e-04
6.8917212,5.5526e-04
6.9178243,7.9401e-04
6.9469838,6.1388e-04
6.9820104,4.9591e-04
7.0093966,7.0951e-04
7.0452719,5.7904e-04
7.0753198,6.2718e-04
7.1163645,7.0923e-04
7.1638050,5.5775e-04
7.1964107,5.5214e-04
7.2251816,7.2314e-04
7.2982626,7.5918e-04
7.3276873,6.6520e-04
7.3533230,7.1442e-04
7.3878355,6.1585e-04
7.4154425,7.2101e-04
7.4612188,6.3370e-04
7.4814329,5.9981e-04
7.5082421,8.4741e-04
7.5465593,7.2584e-04
7.5712619,5.4021e-04
7.6011858,7.1590e-04
7.6218877,7.2322e-04
9.2636671,7.7222e-04
9.2805128,6.6983e-04
9.3059492,9.9998e-04
9.3623114,1.3628e-03
9.3913088,1.6225e-03
9.4459906,2.9139e-03
9.5059299,7.1747e-04
9.5384769,4.2765e-04
9.5681849,5.0422e-04
9.6206827,6.2592e-04
9.6558075,5.8877e-04
9.7073240,6.1013e-04
9.7736673,6.3605e-04
9.8013668,8.1351e-04
9.8290176,6.5132e-04
9.8747473,4.3464e-04
10.0175781,6.1985e-04
10.1676083,5.9267e-04
10.1860561,5.9851e-04
10.2470570,5.2412e-04
10.3248663,6.6399e-04
10.3862362,5.6768e-04
10.4276981,5.7455e-04
10.5709982,7.3126e-04
10.6037445,6.0621e-04
10.6446800,6.1579e-04
10.6833601,7.0499e-04
10.7424355,6.5403e-04
10.7724142,7.0754e-04
10.7936277,6.8495e-04
10.8325777,6.8916e-04
10.8998909,7.6405e-04
10.9359980,6.8879e-04
10.9834042,7.1736e-04
11.1591063,6.9224e-04
11.2057724,5.0485e-04
11.2364922,5.6540e-04
11.2694902,4.1181e-04
11.2883940,9.5544e-04
11.3155985,6.2017e-04
11.3567905,6.7997e-04
11.3813286,7.5167e-04
11.4031849,5.9362e-04
11.4382706,7.9379e-04
11.4683371,7.2506e-04
11.5136051,6.2688e-04
11.7201195,7.9651e-04
11.7434664,7.1875e-04
11.7868567,6.1063e-04
11.8146763,5.5115e-04
11.8474216,7.2753e-04
12.0150242,7.2673e-04
12.2426195,6.0952e-04
14.2584610,2.3467e-03
14.3553238,5.6090e-04
14.4590635,5.1530e-04
14.6331892,5.2759e-04
14.6603107,6.8107e-04
15.8675976,7.2071e-04
16.1435661,6.0671e-04
16.2425346,6.3913e-04
16.2869511,7.1043e-04
16.3228016,7.1696e-04
16.3511791,6.9688e-04
16.3862495,7.6969e-04
16.8552437,7.0036e-04
16.9090691,7.6965e-04
17.2162590,8.4202e-04
19.5707989,8.2537e-04
20.9972649,6.1499e-04
21.1383686,6.4707e-04
21.1788673,6.6714e-04
21.2111816,7.7739e-04
22.0633373,6.9786e-04
29.5267849,1.6319e-03
31.2318554,6.0603e-04
31.2743607,5.5080e-04
31.8235931,6.4806e-04
31.9374447,6.5185e-04
32.7628708,7.6115e-04
32.8901711,6.4013e-04
33.6429405,7.3628e-04
33.6876488,8.2141e-04
33.8943748,1.1230e-03
34.3448181,6.9206e-04
34.4009476,8.1864e-04
34.5574837,7.5963e-04
34.5931587,6.9678e-04
34.6145248,8.0894e-04
37.2799149,3.5357e-03
38.7118683,5.1256e-04
39.3247604,1.0441e-03
39.3476982,1.1594e-03
39.3726044,9.3059e-04
39.4208755,1.3536e-03
39.5009689,1.1694e-03
39.5735283,1.2154e-03
39.6075020,9.1743e-04
39.6485291,7.8896e-04
39.6797791,1.0116e-03
39.6987572,9.4412e-04
39.7288513,9.0799e-04
39.7815132,6.5553e-04
39.8083725,7.2981e-04
39.8390656,6.2596e-04
41.9177971,6.9176e-04
42.0962753,5.2693e-04
42.1460266,5.7582e-04
42.2406120,5.0130e-04
42.3427658,6.3395e-04
42.5095100,6.1084e-04
42.5408134,6.3863e-04
42.7845764,4.5269e-04
42.8338356,7.0317e-04
42.8675575,7.3075e-04
42.9067802,7.0807e-04
42.9424553,7.1270e-04
42.9669495,6.8052e-04
42.9969292,7.8931e-04
43.0181885,6.5171e-04
43.0524330,6.1677e-04
43.0874825,4.7648e-04
43.1397324,6.3072e-04
43.1726418,5.5164e-04
43.2072792,6.5894e-04
43.2477188,5.3837e-04
43.2832298,5.7079e-04
43.3225861,7.6123e-04
43.3484497,8.4221e-04
43.3745461,7.0936e-04
43.3974380,5.7891e-04
